job_id,created_at,completed_at,duration_s,station,workflow_id,experiment_stage,parts_target,first_scan_count,parts_picked,success_rate_pct,first_attempt_picks,retry_picks,all_fail_cycles
36a12b4c,2026-06-26T06:28:42Z,2026-06-26T06:34:23Z,341.2,phase3_manual_test,manual-phase3-1782455301,3,5,5,5,100.0,5,0,0
e1b1ec74,2026-06-26T07:11:33Z,2026-06-26T07:15:36Z,242.3,phase3_manual_test,manual-phase3-1782457892,3,5,5,5,100.0,5,0,0
565d0028,2026-06-26T07:17:30Z,2026-06-26T07:21:20Z,230.1,phase3_manual_test,manual-phase3-1782458243,3,5,5,5,100.0,5,0,0
f2c3416c,2026-06-26T07:28:36Z,2026-06-26T07:32:11Z,214.5,ur5_station,wf-322378b1,3,5,5,5,100.0,5,0,0
51fedfad,2026-06-26T07:58:34Z,2026-06-26T08:02:03Z,208.9,ur5_station,wf-1aa30a57,3,5,5,5,100.0,5,0,0
da282032,2026-06-26T08:06:36Z,2026-06-26T08:10:08Z,211.7,ur5_station,wf-5d772d3d,3,5,5,5,100.0,5,0,0
eae796af,2026-06-26T08:13:01Z,2026-06-26T08:16:37Z,215.8,phase3_manual_test,manual-phase3-1782461579,3,5,5,5,100.0,5,0,0
3076550c,2026-06-26T08:19:09Z,2026-06-26T08:22:43Z,213.7,ur5_station,wf-8137f41e,3,5,5,5,100.0,5,0,0
92f6925d,2026-06-26T08:26:08Z,2026-06-26T08:29:42Z,214.4,ur5_station,wf-9b012a7f,3,5,5,5,100.0,5,0,0
85684bef,2026-06-26T08:32:43Z,2026-06-26T08:36:13Z,209.5,ur5_station,wf-f90cddd2,3,5,5,5,100.0,5,0,0
